statement,source,link,veracity
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180705082623/https://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,0
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,0
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,0
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,0
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,0
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,0
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,0
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180705082623/https://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,0
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180705082623/https://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,0
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,0
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,0
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/rachel-maddow/rachel-maddow-right-there-was-no-plan-reuniting-fa/,1
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/free-dunkin-donuts-online-offer-scam/,0
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,/web/20180701030417/http://www.politifact.com/ohio/statements/2018/jun/26/blog-posting/blog-site-wrongly-claims-muslim-woman-escaped-puni/,0
"""NASA announced that it communicated with four races of aliens.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/no-nasa-has-not-communicated-aliens/,0
"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/mexico-presidential-candidate-call-immigration/,0
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,1
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/afscme/ad-falsely-accuses-nevadas-gop-governor-candidate-/,0
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/22/ivanka-trump/no-evidence-link-ivanka-trump-quote-chinese-prover/,0
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/scott-walker/scott-walkers-big-re-election-tax-cut-tout-8-billi/,1
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,0
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1
"""39% of All California Students are illegals.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/no-39-california-students-arent-undocumented/,0
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/05/viral-image/viral-image-overstates-births-undocumented-mothers/,0
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jul/05/scott-walker/gov-scott-walker-says-state-schools-chief-tony-eve/,0
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jul/05/rick-scott/did-sen-bill-nelson-vote-higher-taxes-349-no/,0
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180717183606/http://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,0
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,0
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,0
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,0
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,0
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,0
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180717183606/http://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,0
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180717183606/http://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,0
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180717183606/http://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,0
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180717183606/http://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,0
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180717183606/http://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,0
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/14/bernie-s/bernie-sanders-wrongly-says-donald-trump-never-apo/,0
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/13/nofakenews-online/no-undocumented-immigrants-were-not-caught-voting-/,0
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,/web/20180106054644/http://www.politifact.com/wisconsin/statements/2017/dec/13/kelda-helen-roys/claim-998-americans-wouldnt-get-tax-cut-under-gop-/,0
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/houstonchronicle-tvcom/no-trump-hasnt-fired-justice-departments-rod-rosen/,0
"A Colgate toothpaste is subject to ""recall.""",Shared This,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/12/shared/story-misleads-about-fd-triclosan-and-toothpaste/,0
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/gateway-pundit/facebook-did-not-remove-gateway-pundit-report-afte/,0
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/don-blankenship/convicted-w-va-mining-ceo-falsely-says-government-/,0
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/11/donald-trump/donald-trump-wrong-black-homeownership-rate-record/,0
"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/blog-posting/fake-news-no-roy-moore-accuser-was-not-arrested-ly/,0
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/evening-world/fake-news-about-washington-post-and-roy-moore-accu/,0
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/11/chain-email/chain-email-putin-says-minorities-should-adopt-rus/,0
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,/web/20180106054644/http://www.politifact.com/illinois/statements/2017/dec/11/jb-pritzker/no-jb-pritzker-did-not-release-more-tax-informatio/,0
"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,/web/20180106054644/http://www.politifact.com/punditfact/statements/2017/dec/08/gregg-jarrett/has-fbi-become-americas-secret-police/,0
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,/web/20180106054644/http://www.politifact.com/texas/statements/2017/dec/08/ryan-sitton/ryan-sitton-errantly-says-12-million-people-left-w/,0
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,/web/20180106054644/http://www.politifact.com/truth-o-meter/statements/2017/dec/08/blog-posting/no-roy-moore-accuser-didnt-tamper-or-forge-yearboo/,0
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,0
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/21/troy-laraviere/cps-most-understaffed-district-illinois/,1
"Says the ""Pope calls for world wide gun confiscation except for the UN""",Common Sense News,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/20/common-sense-news/fake-news-says-pope-called-world-wide-gun-confisca/,0
"The Trump administration’s policy of separating families is ""the same way Barack Obama did it.""",Matt  Schlapp,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/19/matt-schlapp/no-donald-trumps-separation-immigrant-families-was/,0
"""Crime in Germany is way up.""",Donald Trump,/web/20180715231626/http://www.politifact.com/truth-o-meter/statements/2018/jun/18/donald-trump/donald-trump-wrong-about-crime-germany/,0
"""Senate report admits Clinton ‘gifted’ children to human traffickers""",YourNewsWire.com,/web/20180715231626/http://www.politifact.com/punditfact/statements/2018/jun/18/yournewswirecom/false-headline-wrongly-links-hillary-clinton-forme/,0
"Says ""massive floods"" led to Legionnaires’ disease outbreaks at the Quincy Veterans’ Home.",Bruce Rauner,/web/20180715231626/http://www.politifact.com/illinois/statements/2018/jun/18/bruce-rauner/rauners-legionnaires-claim-misses-mark-and-point/,0
"""The graduation rate in New York City has increased by 50 percent in 13 years""",Bill de Blasio,/web/20180213195651/http://www.politifact.com/new-york/statements/2018/jan/17/bill-de-blasio/how-much-has-graduation-rate-increased-nyc-start-m/,1
"""First indictment issued in Russian bribery case tied to Obama-era Uranium One deal.""",Republican News,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/17/republican-news/no-uranium-one-investigation-has-not-led-indictmen/,0
"""Oprah tells Fox News host ‘all white people have to die.’""",AmericanNews.com,/web/20180213195651/http://www.politifact.com/punditfact/statements/2018/jan/16/americannewscom/oprahs-comments-about-race-2013-bbc-interview-dist/,0
"""Almost half of all vehicles stolen in Texas each year had keys left inside.""",Robert Chody,/web/20180213195651/http://www.politifact.com/texas/statements/2018/jan/12/robert-chody/nearly-half-texas-vehicle-thefts-keys-left-inside-/,0
