statement,source,veracity,date
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,0,2018-07-03
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,1,2018-07-03
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,0,2018-07-03
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,0,2018-07-03
"""George H.W. Bush has died at 94.""",Bloggers,0,2018-07-02
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,0,2018-07-02
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,0,2018-07-02
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,0,2018-07-02
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,0,2018-07-02
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,0,2018-07-02
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,0,2018-07-02
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,0,2018-06-29
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,0,2018-06-29
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,0,2018-06-29
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,1,2018-06-29
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,1,2018-06-29
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,0,2018-06-29
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,0,2018-06-26
"""NASA announced that it communicated with four races of aliens.""",Bloggers,0,2018-06-25
"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,0,2018-06-25
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,1,2018-06-25
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,0,2018-06-25
"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",Bloggers,0,2018-06-25
"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,0,2018-06-25
"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,0,2018-06-25
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",Tammy Baldwin,1,2018-06-22
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,0,2018-06-22
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,1,2018-06-22
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,0,2018-06-21
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,0,2018-06-21
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,1,2018-06-21
"""Under Emanuel, CPS has become the most understaffed school district in Illinois.""",Troy LaRaviere,1,2018-06-21
Says May 2018 marked the 401st straight month of global temperatures exceeding the 20th century average.,Jim Spencer,1,2018-06-20
"States with voter ID laws have seen ""zero decrease"" in participation. ""Most have seen an increase.""",Tim Moore,0,2018-06-20
"Says Sen. Tim Kaine ""approves of and even applauds his son's participation in a known terrorist organization, #Antifa.""",Corey  Stewart,0,2018-06-20
"""39% of All California Students are illegals.""",Viral image,0,2018-07-05
"""More than 66% of ALL births in California are to illegals on Medi-Cal.""",Viral image,0,2018-07-05
"""By law, Democrats gave the superintendent of public instruction, back in 2009, the ability to take over failing schools … The current superintendent has failed to do that.""",Scott Walker,0,2018-07-05
"Says Sen. Bill Nelson ""voted for higher taxes"" 349 times.",Rick Scott,0,2018-07-05
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,0,2018-07-03
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,1,2018-07-03
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,0,2018-07-03
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,0,2018-07-03
"""George H.W. Bush has died at 94.""",Bloggers,0,2018-07-02
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,0,2018-07-02
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,0,2018-07-02
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,0,2018-07-02
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,0,2018-07-02
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,0,2018-07-02
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,0,2018-07-02
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,0,2018-06-29
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,0,2018-06-29
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,0,2018-06-29
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,1,2018-06-29
"Says Donald Trump ""has not apologized"" for comments caught on tape by ""Access Hollywood.""",Bernie Sanders,0,2017-12-14
"""The candidates controlled by Madigan, all of them have said, ‘The answer to our problems is a massive income tax hike.’ """,Bruce Rauner,0,2017-12-14
"""In Missouri, there are still (FEMA) cases pending from floods that occurred in 2013.""",Vicky Hartzler,1,2017-12-13
"""Update: van full of illegals caught voting at multiple Alabama polling locations.""",nofakenews-online,0,2017-12-13
"""Under Trump’s new tax plan … 99.8% of Americans"" get ""not one nickel"" in tax cuts.",Kelda Helen Roys,0,2017-12-13
"""Even with full control of the House, Senate and White House, Republicans have still failed to deliver on their promise of higher wages for working families.""",Nancy  Pelosi,0,2017-12-12
"""Breaking: Trump fires deputy attorney general Rod Rosenstein, raising questions over Mueller’s fate.""",HoustonChronicle-tv.com,0,2017-12-12
"A Colgate toothpaste is subject to ""recall.""",Shared This,0,2017-12-12
"""Facebook picks sides in Alabama Senate race ... shuts down Gateway Pundit and Breitbart reports on discredited Allred accuser""",The Gateway Pundit,0,2017-12-11
"Says ""Obama’s deadliest cover-up (in an explosion that killed 29 miners) has been uncovered"" by internal government documents.",Don Blankenship,0,2017-12-11
"""Black homeownership just hit the highest level it has ever been in the history of our country.""",Donald Trump,0,2017-12-11
"""Roy Moore’s accuser arrested and charged with falsification.""",Bloggers,0,2017-12-11
"""Breaking: woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""",Evening World,0,2017-12-11
"Says Russian President Vladimir Putin got a standing ovation from the Duma after he gave a speech saying Muslims are ""taking over"" other countries but won't take over Russia.",Chain email,0,2017-12-11
"""I released way more (tax) information than Bruce Rauner has.""",JB Pritzker,0,2017-12-11
"""The FBI has become America's secret police …  like the old KGB.""",Gregg Jarrett,0,2017-12-08
"""Earlier this year, Hurricane Harvey left more than 12 million people in Texas and Louisiana without homes.""",Ryan Sitton,0,2017-12-08
"""Gloria Allred Accuser **ADMITS** She Tampered With Roy Moore’s Yearbook 'Signature.' """,Bloggers,0,2017-12-08
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,0,2018-06-21
"""Busted: Obama is holding secret meetings to overtake the White House""",Bloggers,0,2018-06-21
"""There's been a 1,700 percent increase in asylum claims over the last 10 years.""",Donald Trump,1,2018-06-21
