statement,source,link,veracity
"Sen. Kamala Harris is ""supporting the animals of MS-13.""",Donald Trump,/web/20180705082623/https://www.politifact.com/california/statements/2018/jul/03/donald-trump/pants-fire-white-house-claim-sen-harris-supporting/,0
"Says Ronald Reagan said immigrants ""brought with them courage and the values of family, work, and freedom. Let us pledge to each other that we can make America great again.""",Becoming American Initiative,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/becoming-american-initiative/did-ronald-reagan-say-immigrants-made-america-grea/,1
"Says Democratic Senators ""demand Supreme Court nominee not be unduly influenced by U.S. Constitution.""",Viral image,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/03/viral-image/viral-image-criticizing-democrats-featured-fabrica/,0
"""Tim Kaine doesn’t want a border at all. He wants to get rid of Immigration and Customs Enforcement and basically the border patrol as well.""",Corey  Stewart,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/03/corey-stewart/corey-stewart-falsely-claims-sen-tim-kaine-wants-d/,0
"""George H.W. Bush has died at 94.""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/hoax-website-says-george-h-w-bush-died-he-didnt/,0
"""The deficit ... is coming down, and it’s coming down rapidly.""",Larry Kudlow,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/larry-kudlow/larry-kudlow-wrong-about-deficits-falling-rapidly-/,0
"""Watch those GDP numbers. We started off at a very low number, and right now we hit a 3.2 (percent). Nobody thought that was possible.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-base-describing-gdp-growth-his-watch/,0
"""The European Union … they send us Mercedes, they send us -- by the millions -- the BMWs -- cars by the millions.""",Donald Trump,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/donald-trump/donald-trump-wrong-mercedes-bmw-import-cars-us-mil/,0
"""Clinton campaign official arrested by FBI on child rape/trafficking charges""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jul/02/blog-posting/websites-wrongly-claim-man-arrested-child-sex-char/,0
"""Our courts find that 80 percent of those who do file for asylum aren’t qualified for it, do not merit that relief.""",Jeff Sessions,/web/20180705082623/https://www.politifact.com/truth-o-meter/statements/2018/jul/02/jeff-sessions/jeff-sesssions-false-claim-80-percent-asylum-appli/,0
"Says a progressive income tax proposal from Democratic governor candidate J.B. Pritzker ""is wholly regressive.""",Evelyn Sanguinetti,/web/20180705082623/https://www.politifact.com/illinois/statements/2018/jul/02/evelyn-sanguinetti/illinois-lite-guv-calls-progressive-tax-idea-regre/,0
"Says Wisconsin ""hadn’t been won by a Republican since Dwight D. Eisenhower, in 1952. And I won Wisconsin. …  Ronald Reagan, remember, Wisconsin was the state that Ronald Reagan did not win.""",Donald Trump,/web/20180705082623/https://www.politifact.com/wisconsin/statements/2018/jun/29/donald-trump/president-trump-makes-some-interesting-claims-abou/,0
"""Maxine Waters Is Getting Criminally Charged!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/loomer-maxine-waters-not-facing-criminal-charges/,0
"Says Ron DeSantis ""voted in an agricultural bill to give food stamps to illegal immigrants.""",Adam Putnam,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/adam-putnam/putnam-parrots-previous-absurd-claim-food-stamps-i/,0
"Says Adam Putnam ""endorsed the Schumer-Obama Gang of Eight immigration amnesty.""",Ron DeSantis,/web/20180705082623/https://www.politifact.com/florida/statements/2018/jun/29/ron-desantis/did-adam-putnam-endorse-gang-eight-immigration-amn/,1
"""There isn't a system"" for reuniting families separated under Trump’s zero tolerance border policy.",Rachel Maddow,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/rachel-maddow/rachel-maddow-right-there-was-no-plan-reuniting-fa/,1
"Say ""Dunkin' Donuts is providing a free Ḍozen Doughnut Box to everyone! to celebrate 68th Anniversary!""",Bloggers,/web/20180705082623/https://www.politifact.com/punditfact/statements/2018/jun/29/blog-posting/free-dunkin-donuts-online-offer-scam/,0
"""Burka clad woman runs over baby, gets away with crime for one stunning reason ...""",Bloggers,/web/20180701030417/http://www.politifact.com/ohio/statements/2018/jun/26/blog-posting/blog-site-wrongly-claims-muslim-woman-escaped-puni/,0
"""NASA announced that it communicated with four races of aliens.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/no-nasa-has-not-communicated-aliens/,0
"""Mexico’s Next President Calls for An Invasion Of The US""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/mexico-presidential-candidate-call-immigration/,0
"""Migrant mother and ‘crying girl’ on Time cover never separated.""",The Gateway Pundit,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/gateway-pundit/immigrant-girl-time-cover-wasnt-separated-mother/,1
"Says Republican gubernatorial candidate Adam Laxalt ""tried to cut a deal with big pharma"" in a lawsuit.",AFSCME,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/afscme/ad-falsely-accuses-nevadas-gop-governor-candidate-/,0
"""Obama administration kept illegal Mexican kids in detention camps as ‘experiment’""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/25/blog-posting/did-obama-detain-illegal-mexican-children-experime/,0
"""Fact: Over 90,000 kids were detained under Obama. And no one cared.""",Brad Parscale,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/25/brad-parscale/tyes-immigrant-children-detained-under-obama-they-/,0
"""$1 billion—that’s how much Bruce Rauner has wasted with his budget crisis.""",JB Pritzker,/web/20180701030417/http://www.politifact.com/illinois/statements/2018/jun/25/jb-pritzker/did-rauner-really-pour-1-billion-down-drain/,0
"Says Donald Trump's executive order ""doesn't address the over 2,000 children who are already separated from their parents, and it doesn't change the fact that we would be jailing children with their families.""",Tammy Baldwin,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/tammy-baldwin/trumps-executive-order-doesnt-address-2000-separat/,1
"A Chinese proverb says, ""Those who say it can not be done, should not interrupt those doing it.""",Ivanka Trump,/web/20180701030417/http://www.politifact.com/truth-o-meter/statements/2018/jun/22/ivanka-trump/no-evidence-link-ivanka-trump-quote-chinese-prover/,0
"""Since taking office, we have enacted more than $8 billion in cumulative tax relief.""",Scott Walker,/web/20180701030417/http://www.politifact.com/wisconsin/statements/2018/jun/22/scott-walker/scott-walkers-big-re-election-tax-cut-tout-8-billi/,1
"""Bill Clinton passed a law in 1996 that separated children from adults illegally entering America.""",Bloggers,/web/20180701030417/http://www.politifact.com/punditfact/statements/2018/jun/21/blog-posting/no-bill-clinton-law-separating-families/,0
